gir1.2-wnck-3.0	43.0-3build4	arm64
git	1:2.43.0-1ubuntu7.3	arm64
git-man	1:2.43.0-1ubuntu7.3	all
gjs	1.80.2-1build2	arm64
gkbd-capplet	3.28.1-1build3	arm64
gkrellm	2.3.11-2build2	arm64
glib-networking	2.80.0-1build1	arm64
glib-networking-common	2.80.0-1build1	all
glib-networking-services	2.80.0-1build1	arm64
gnome-accessibility-themes	3.28-2ubuntu5	all
gnome-backgrounds	45.0-1	all
gnome-bluetooth-3-common	46.0-1ubuntu1	all
gnome-bluetooth-sendto	46.0-1ubuntu1	arm64
gnome-calculator	1:46.3-0ubuntu0.1	arm64
gnome-calendar	46.1-0ubuntu2	arm64
gnome-characters	46.0-1build1	arm64
gnome-control-center	1:46.7-0ubuntu0.24.04.6	arm64
gnome-control-center-data	1:46.7-0ubuntu0.24.04.6	all
gnome-control-center-faces	1:46.7-0ubuntu0.24.04.6	all
gnome-desktop3-data	44.0-5build2	all
gnome-disk-utility	46.0-1ubuntu3	arm64
gnome-font-viewer	46.0-1build1	arm64
gnome-initial-setup	46.3-1ubuntu3~24.04.2	arm64
gnome-keyring	46.1-2ubuntu0.2	arm64
gnome-keyring-pkcs11	46.1-2ubuntu0.2	arm64
gnome-logs	45.0-1build1	arm64
gnome-mahjongg	1:3.40.1-1	arm64
gnome-menus	3.36.0-1.1ubuntu3	arm64
gnome-mines	1:40.1-1build2	arm64
gnome-online-accounts	3.50.4-0ubuntu2	arm64
gnome-power-manager	43.0-2build2	arm64
gnome-remote-desktop	46.3-0ubuntu1.2	arm64
gnome-screenshot	41.0-2build2	arm64
gnome-session	46.0-1ubuntu4	all
gnome-session-bin	46.0-1ubuntu4	arm64
gnome-session-canberra	0.30-10ubuntu10	arm64
gnome-session-common	46.0-1ubuntu4	all
gnome-settings-daemon	46.0-1ubuntu1.24.04.1	arm64
gnome-settings-daemon-common	46.0-1ubuntu1.24.04.1	all
gnome-shell	46.0-0ubuntu6~24.04.14	arm64
gnome-shell-common	46.0-0ubuntu6~24.04.14	all
gnome-shell-extension-appindicator	58-1ubuntu24.04.1	all
gnome-shell-extension-desktop-icons-ng	46+really47.0.9-1ubuntu5	all
gnome-shell-extension-prefs	46.0-0ubuntu6~24.04.14	arm64
gnome-shell-extension-ubuntu-dock	90ubuntu3	all
gnome-shell-extension-ubuntu-tiling-assistant	46-1ubuntu1.1	all
